,contestant,age,outcome,name,hometown
0,Jinkx Monsoon,24,Winner,Jerick Hoffer,"Seattle, Washington"
1,Alaska,27,Runner-up,Justin Honard,"Pittsburgh, Pennsylvania"
2,Roxxxy Andrews,28,Runner-up,Michael Feliciano,"Orlando, Florida"
3,Detox,27,4th Place,Matthew Sanderson,"Los Angeles, California"
4,Coco Montrese,37,5th Place,Martin Cooper,"Las Vegas, Nevada"
5,Alyssa Edwards,32,6th Place,Justin Johnson,"Mesquite, Texas"
6,Ivy Winters,26,7th Place,Dustin Winters,"New York, New York"
7,Jade Jolie,25,8th Place,,"Gainesville, Florida"
8,Lineysha Sparx,24,9th Place,Andy Trinidad,"San Juan, Puerto Rico"
9,Honey Mahogany,29,10th/11th Place,Alpha Mulugeta,"San Francisco, California"
10,Vivienne Pinay,26,10th/11th Place,,"New York, New York"
11,Monica Beverly Hillz,27,12th Place,Juan DeJesus Anaya,"Owensboro, Kentucky"
12,Serena ChaCha,21,13th Place,,"Tallahassee, Florida"
13,Penny Tration,39,14th Place,,"Cincinnati, Ohio"
